tableName,associatedID
UserWork.csv,migrateGUID
UserWork.csv,timeCardID
UserWork.csv,assessmentID
UserWork.csv,scheduleID
UserWorkFile.csv,userWorkFileID
UserWorkFile.csv,userWorkID
UserWorkFile.csv,migrateGUID
UserWorkFile.csv,ownerUserID
UserWorkHistory.csv,userWorkHistoryID
UserWorkHistory.csv,userID
UserWorkHistory.csv,clientCorporationID
UserWorkHistory.csv,jobPostingID
UserWorkHistory.csv,placementID
UserWorkHistory.csv,migrateGUID
UserWorkHistoryCustom.csv,userWorkHistoryID
UserWorkHistoryCustom.csv,migrateGUID
dba12171_corpSetting.csv,settingID
dba12171_corpSetting.csv,modifyingUserID
dba12171_corpSetting.csv,corporationID
devTmp_56253_11232018_FieldMapList.csv,fieldMapID
devTmp_56253_11232018_FieldMapList_referralFeeType.csv,fieldMapID
devTmp_60097_011719_fieldMapList.csv,fieldMapID
devTmp_BH59455_internationalizedMobileEnabled_Criteria.csv,CorporationID
devTmp_BH59558_SeedDefaultSectionFieldMapList_MobileEdit.csv,sectionID
devTmp_BH59558_SeedDefaultSectionFieldMapList_MobileEdit.csv,fieldMapID
temp_EmailArchive.csv,emailArchiveID
temp_EmailArchive.csv,userMessageID
temp_EmailArchive.csv,userID
temp_EmailArchive.csv,usermessageFileID
